,text
0,@agnesberti01 itu kata jata kiasan anak jaman 2012
1,@sadbness Klo bulanan kan happy menstruasi
2,"Jalan ke warteg aja mas deket, dah gt murah, kalo gapunya duit mah gausa sok sokan tp nyusahin orang bangsat ya and… https://t.co/eCLUAhOoBd"
3,Siapin lilin dulu dah
4,"#DebatCapresJICT 
#asingkuasaipelabuhanJICT"
5,"quote quote 

"" hasil tidak akan mengkhianati proses ""

ternyata itu nyata."
6,[23:56] #JAKARTA Tol Tomang - Karang Tengah - Tangerang - Bitung #LANCAR #JasaMarga
7,[23:56] #JAKARTA Tol Cengkareng - Pluit - Tomang - Cawang #LANCAR #JasaMarga
8,[23:56] #JAKARTA Tol Cawang - Pancoran #LANCAR #JasaMarga
9,[23:56] #JAKARTA Buaran - Cipinang #LANCAR #JasaMarga
10,[23:55] #JAKARTA Tol Semper - Cakung - Cikunir - TMII #LANCAR #JasaMarga
11,[23:55] #JAKARTA Tol Serpong - Pd. Ranji - Ulujami #LANCAR #JasaMarga
12,"@kimcrush94 aku sudah nunggu emaknya pili padahal, ya udah ati2 yaaaa
gw udah sampe jakarta"
13,Kalo udah tau harganya yaudah.. kenapa dipermasalahin.. bahagian diri sendiri masa ga boleh..?? Aneh iihh..
14,@yunartowijaya yg jelas bukan jokowi mas
15,"Kalo ada yg ribet kenapa harus ada yg mudah, pokonya bikin ribet dahhh"
16,aku adalah desir pasir di padang tandus
17,Bisa ketemu setelah sekian lama itu suatu berkah.. punya banyak sahabat itu juga suatu berkah. makasih ya Allah 😍 B… https://t.co/wr60M1BiJ7
18,Mengadu diwaktu yg tepat https://t.co/J6IKHoljgS
19,"Semakin dicari, semakin tidak ketemu. Semakin dipikir, semakin tersesat."
20,@indomymenfess Mending alesan kalo kamu pas tanggal segitu diajak keluargamu liburan/ngurus kuliah/udh keterima ker… https://t.co/GGUmD76yMg
21,aku kangen bucin ku :(
22,oh iya sama momen wktu keluarnya Mate series sih jd faktor si P30 ini jgd ga hebring.. ga bisa nyaingin si Mate sih intinya..
23,PRO YEK! @ Trans Park Cibubur https://t.co/saWyuO7R4N
